Gene.symbol	t-score	FoldChange	pvalue	FDR
CREB1	-0.2997009	0.968422739	0.766	0.98
CREB3	2.1912369	1.153683451	0.033	0.592
CREB3L1	-0.3770749	0.982160488	0.708	0.976
CREB3L2	0.9159535	1.023790724	0.364	0.915
CREB3L3	-0.5752857	0.97783519	0.568	0.959
CREB3L4	0.1181323	1.006495833	0.906	0.996
CREB5	0.1046344	1.011715049	0.917	0.996
CREBBP	-2.9340392	0.908455895	0.005	0.258
CREBL2	2.7444906	1.255864539	0.00835	0.335
CREBRF	-1.2444831	0.936192278	0.219	0.878
CREBZF	-1.1797524	0.918853943	0.244	0.883
CREG1	-0.0299028	0.997751495	0.976	0.998
CRELD1	0.3119073	1.019606885	0.756	0.98
CRELD2	0.5769987	1.028297767	0.566	0.959
CREM	-1.4339896	0.844123878	0.158	0.846
CRH	-0.3474992	0.987744204	0.73	0.978
CRHBP	-0.8238188	0.967468765	0.414	0.926
CRHR1	-1.422884	0.94533155	0.161	0.846
CRHR2	0.3959192	1.009833001	0.694	0.973
CRIP1	-1.4905788	0.854874473	0.142	0.831
CRIP2	-0.6855668	0.955982391	0.496	0.945
CRIPT	2.1307071	1.261525387	0.038	0.616
CRISP1	-0.1572937	0.996372653	0.876	0.991
CRISP2	1.7806848	1.053449671	0.0809	0.749
CRISP3	-2.3923551	0.759221609	0.0205	0.494
CRISPLD1	-1.9962383	0.953136867	0.0513	0.66
CRISPLD2	-1.4215505	0.845596576	0.161	0.847
CRLF1	-0.3763898	0.978867484	0.708	0.976
CRMP1	-0.1007813	0.995082847	0.92	0.997
CRNKL1	1.1727081	1.165203976	0.246	0.883
CRNN	-1.313211	0.950434045	0.195	0.868
CROCC	-0.6957566	0.962601342	0.49	0.944
CROT	-0.2699389	0.983153938	0.788	0.982
CRP	0.1627237	1.003958657	0.871	0.99
CRTAC1	0.3589796	1.01160809	0.721	0.978
CRTAM	1.1101213	1.151630976	0.272	0.889
CRTAP	-3.096259	0.851797293	0.00318	0.195
CRTC1	-0.1079612	0.994062936	0.914	0.996
CRTC2	-1.3936429	0.920038992	0.169	0.852
CRTC3	-1.6106805	0.884995129	0.113	0.801
CRX	-0.0149503	0.999396562	0.988	0.999
CRY1	-1.6702434	0.918125159	0.101	0.783
CRY2	-2.2260271	0.884049667	0.0305	0.577
CRYAA	-0.4835051	0.979100128	0.631	0.965
CRYAB	-0.0948474	0.994595349	0.925	0.997
CRYBA1	-1.1699021	0.942947105	0.247	0.883
CRYBA2	-1.5676837	0.933227024	0.123	0.807
CRYBA4	1.1041839	1.042319535	0.275	0.89
CRYBB1	-0.2496389	0.986758694	0.804	0.982
CRYBB2	0.1837473	1.010490424	0.855	0.988
CRYBB3	-1.8810083	0.920851554	0.0657	0.712
CRYBG2	-0.8134327	0.974298054	0.42	0.927
CRYGA	0.132301	1.005468448	0.895	0.994
CRYGB	-0.3719486	0.981239707	0.711	0.977
CRYGC	-1.5407941	0.945276667	0.13	0.813
CRYGN	0.4400923	1.020891178	0.662	0.97
CRYGS	-1.5897331	0.925378388	0.118	0.804
CRYL1	-1.39538	0.965385331	0.169	0.852
CRYM	-0.1050065	0.993783242	0.917	0.996
CRYZL1	-0.6906832	0.972814744	0.493	0.945
CSAD	-2.0864673	0.842936658	0.042	0.634
CSDC2	-1.5776463	0.93474652	0.121	0.807
CSDE1	-2.0423147	0.877107118	0.0463	0.645
CSE1L	-0.2928122	0.984471427	0.771	0.98
CSF2	0.2929485	1.013790823	0.771	0.98
CSF2RA	-0.2544065	0.979379029	0.8	0.982
CSF3	-0.7326997	0.963542074	0.467	0.941
CSF3R	-1.3731202	0.845011816	0.176	0.858
CSKMT	0.3283717	1.011355447	0.744	0.979
CSMD1	-1.2901452	0.978328605	0.203	0.872
CSMD3	0.0381464	1.000973826	0.97	0.998
CSN1S1	-1.479269	0.951427203	0.145	0.836
CSN2	0.9805959	1.029031282	0.331	0.906
CSN3	1.6111854	1.066346001	0.113	0.801
CSNK1A1	0.1261322	1.008682931	0.9	0.995
CSNK1D	-1.4356074	0.91387002	0.157	0.846
CSNK1E	-2.5055127	0.86798783	0.0155	0.44
CSNK1G1	-0.8805594	0.953362557	0.383	0.918
CSNK1G3	-2.0059631	0.901441041	0.0502	0.657
CSNK2A1	-0.3001417	0.984628914	0.765	0.98
CSNK2A2	-1.4819368	0.946616261	0.145	0.834
CSNK2B	-0.4952648	0.970348205	0.623	0.965
CSPG4	-2.6850752	0.900442851	0.00976	0.358
CSPG5	-0.9036152	0.975598091	0.37	0.916
CSPP1	0.5152336	1.01809177	0.609	0.964
CSRNP1	1.1317732	1.137187803	0.263	0.889
CSRNP2	-1.852578	0.934241722	0.0697	0.725
CSRP1	0.6793622	1.050828206	0.5	0.946
CSRP2	-1.4145032	0.948947343	0.163	0.849
CSRP3	-0.3979609	0.986004209	0.692	0.973
CST1	-0.0561001	0.997575176	0.955	0.998
CST11	-0.9369989	0.97230629	0.353	0.912
CST3	0.9358525	1.135275569	0.354	0.912
CST5	-0.2741632	0.984472983	0.785	0.982
CST6	-0.9492889	0.977271294	0.347	0.912
CST7	0.5909626	1.104471376	0.557	0.956
CST8	-0.197571	0.992922747	0.844	0.987
CST9L	-0.3871747	0.984976596	0.7	0.974
CSTA	-0.5750617	0.957060101	0.568	0.959
CSTB	0.2331175	1.012820218	0.817	0.984
CSTF1	-2.5996832	0.874046264	0.0122	0.392
CSTF2	-0.5644525	0.986920698	0.575	0.962
CSTF2T	0.1147183	1.00806735	0.909	0.996
CSTF3	1.5905573	1.147026657	0.118	0.804
CSTL1	0.7113537	1.02701388	0.48	0.943
CT62	-1.0155931	0.961857261	0.315	0.899
CT83	0.6259598	1.018672871	0.534	0.951
CTAG2	-0.896883	0.963809329	0.374	0.916
CTAGE1	-0.5145964	0.983505837	0.609	0.964
CTAGE5	-0.9649159	0.916974437	0.339	0.908
CTAGE5	0.344933	1.007710029	0.732	0.978
CTAGE5	-0.1103071	0.994044264	0.913	0.996
CTBP1	0.2119174	1.019306855	0.833	0.986
CTBS	0.0501457	1.00505008	0.96	0.998
CTC1	1.5204764	1.070972243	0.135	0.824
CTCF	-1.227225	0.951238676	0.225	0.88
CTCFL	-0.4809847	0.988109944	0.633	0.965
CTDNEP1	-0.0186874	0.998817851	0.985	0.999
CTDP1	-1.0426522	0.952508697	0.302	0.898
CTDSP2	-0.9881105	0.946962388	0.328	0.904
CTDSPL	0.8177742	1.122371468	0.417	0.926
CTDSPL2	-2.2210547	0.854262827	0.0308	0.583
CTF1	-0.3489354	0.973686551	0.729	0.978
CTH	-1.3676798	0.891310434	0.177	0.858
CTHRC1	-0.9999383	0.973056236	0.322	0.902
CTIF	0.709732	1.024244972	0.481	0.943
CTLA4	0.1117045	1.005645855	0.911	0.996
CTNNA1	-1.0905271	0.943776497	0.281	0.892
CTNNA2	-0.7448155	0.972776492	0.46	0.939
CTNNA3	-0.9190912	0.964738924	0.362	0.915
CTNNAL1	0.0895751	1.008408162	0.929	0.997
CTNNB1	-0.7642117	0.93869202	0.448	0.936
CTNNBIP1	-0.8438819	0.962298904	0.403	0.923
CTNNBL1	1.0522139	1.077689056	0.298	0.896
CTNND1	1.1926256	1.051474199	0.239	0.883
CTNND2	0.1452795	1.005831946	0.885	0.992
CTNS	1.4592878	1.115891888	0.151	0.842
CTPS1	0.3452444	1.027710996	0.731	0.978
CTPS2	0.0497397	1.002794703	0.961	0.998
CTRB1	-0.730123	0.952672203	0.469	0.941
CTRC	0.0409904	1.002222068	0.967	0.998
CTSA	1.4631503	1.174011345	0.15	0.842
CTSB	0.1826965	1.014047034	0.856	0.989
CTSC	1.6413927	1.170985621	0.107	0.79
CTSE	0.2289208	1.011506549	0.82	0.984
CTSF	-2.3690967	0.873989105	0.0217	0.504
CTSG	-0.7614303	0.940601801	0.45	0.937
CTSH	0.5768193	1.059955406	0.567	0.959
CTSK	-1.4026053	0.91518838	0.167	0.852
CTSO	2.6561975	1.164052591	0.0105	0.37
CTSS	0.4160883	1.025431762	0.679	0.972
CTSW	0.3589418	1.060969446	0.721	0.978
CTSZ	-0.2904715	0.964268831	0.773	0.981
CTTN	1.7453598	1.277908216	0.0869	0.754
CTTNBP2	-1.9125768	0.952705274	0.0614	0.696
CTXN3	-2.1548992	0.952928972	0.0359	0.607
CUBN	-2.3861491	0.750591486	0.0208	0.497
CUEDC1	1.0244159	1.065456808	0.31	0.899
CUEDC2	0.9223594	1.08960769	0.361	0.914
CUL1	2.3605487	1.259545658	0.0221	0.508
CUL2	-0.5448187	0.965027426	0.588	0.962
CUL3	-1.1350093	0.916307276	0.262	0.889
CUL4A	-0.2622095	0.980433612	0.794	0.982
CUL4B	-1.333789	0.937347872	0.188	0.867
CUL5	0.0748227	1.004543967	0.941	0.998
CUL7	-0.512485	0.982208246	0.611	0.964
CUL9	-1.9848713	0.921389447	0.0525	0.665
CUTA	-1.0856556	0.933943591	0.283	0.893
CUTC	-0.2858327	0.985092333	0.776	0.981
CUX1	2.0035353	1.172453422	0.0504	0.657
CUX2	-0.6127178	0.963189366	0.543	0.952
CUZD1	0.4445834	1.028960371	0.659	0.969
CWC15	-1.0947727	0.917951751	0.279	0.891
CWC22	-0.2833067	0.976861286	0.778	0.981
CWC25	-0.2672246	0.981560311	0.79	0.982
CWC27	1.9319366	1.178484366	0.0589	0.689
CWF19L1	-2.4640954	0.870788035	0.0171	0.459
CWF19L2	0.5162736	1.027054344	0.608	0.964
CWH43	0.0229376	1.000587358	0.982	0.998
CX3CL1	-0.2828963	0.990877551	0.778	0.981
CX3CR1	3.7687907	2.482593235	0.000427	0.0476
CXCL10	6.8024364	4.807251625	1.12E-08	0.00000533
CXCL11	2.9946605	1.429126982	0.00423	0.231
CXCL12	0.285581	1.012539472	0.776	0.981
CXCL13	-0.2869998	0.991596057	0.775	0.981
CXCL14	-0.7311995	0.978123731	0.468	0.941
CXCL17	-0.2736694	0.98809063	0.785	0.982
CXCL3	0.6583882	1.136275641	0.513	0.947
CXCL5	0.7804897	1.134893721	0.439	0.932
CXCL6	-1.718135	0.764536773	0.0918	0.765
CXCL8	-1.0880088	0.722829349	0.282	0.893
CXCL9	2.0089497	1.148557927	0.0498	0.657
CXCR1	-1.8630112	0.784023863	0.0682	0.72
CXCR2	-0.7378658	0.83362266	0.464	0.94
CXCR3	-0.7758772	0.929892849	0.441	0.933
CXCR4	-2.2832014	0.763082809	0.0266	0.545
CXCR5	-2.0181926	0.903542802	0.0488	0.653
CXCR6	-0.8181426	0.938726447	0.417	0.926
CXorf36	-0.8835629	0.960638217	0.381	0.918
CXorf38	0.0530058	1.004348654	0.958	0.998
CXorf57	-0.8953156	0.965100534	0.375	0.916
CXorf58	0.0514717	1.001488274	0.959	0.998
CXorf65	-0.5498404	0.959243913	0.585	0.962
CXorf67	-0.7648435	0.96819541	0.448	0.936
CXXC1	0.6613751	1.040103632	0.511	0.947
CXXC4	-0.3586142	0.989711639	0.721	0.978
CXXC5	-2.1331741	0.833384186	0.0377	0.615
CYB561	-0.0983565	0.995566141	0.922	0.997
CYB561A3	-0.5228454	0.955976527	0.603	0.964
CYB561D1	-1.0969397	0.943146533	0.278	0.891
CYB561D2	0.7775321	1.043831323	0.44	0.933
CYB5A	2.3389794	1.225304256	0.0233	0.517
CYB5B	1.0109728	1.071011343	0.317	0.9
CYB5D1	0.8022154	1.044388184	0.426	0.928
CYB5D2	-0.9441154	0.938167637	0.35	0.912
CYB5R1	-0.1131348	0.993611468	0.91	0.996
CYB5R2	-0.3560984	0.98523639	0.723	0.978
CYB5R4	-0.0677309	0.993185132	0.946	0.998
CYB5RL	-0.5161989	0.984693275	0.608	0.964
CYBA	0.3584006	1.033461217	0.722	0.978
CYBB	1.6786296	1.18072834	0.0993	0.779
CYBRD1	-1.0711979	0.92612408	0.289	0.894
CYC1	-0.0807835	0.994437723	0.936	0.998
CYCS	-2.1823885	0.822817527	0.0337	0.595
CYFIP1	1.7331988	1.175915073	0.0891	0.758
CYFIP2	0.2956834	1.021984475	0.769	0.98
CYGB	-0.9297907	0.967092512	0.357	0.912
CYHR1	-1.162938	0.955038031	0.25	0.883
CYLC1	1.3107104	1.034508393	0.196	0.868
CYLC2	-0.028043	0.998993274	0.978	0.998
CYLD	-1.0191488	0.95250933	0.313	0.899
CYP11A1	0.047499	1.002132714	0.962	0.998
CYP11B1	-0.1041165	0.997626581	0.917	0.996
CYP11B2	-1.1275291	0.918340661	0.265	0.889
CYP17A1	-0.885842	0.97501492	0.38	0.918
CYP1A1	-0.1249567	0.994814706	0.901	0.995
CYP1A2	0.0131369	1.000533651	0.99	0.999
CYP1B1	-1.6393862	0.83438547	0.107	0.79
CYP20A1	-0.2320321	0.987216875	0.817	0.984
CYP24A1	-0.494559	0.98604333	0.623	0.965
CYP26A1	1.0237932	1.039979774	0.311	0.899
CYP26B1	-0.939776	0.970190844	0.352	0.912
CYP27A1	-0.696369	0.942979322	0.489	0.944
CYP27B1	-0.3730183	0.984196758	0.711	0.976
CYP27C1	-0.7265943	0.984894569	0.471	0.942
CYP2B6	0.0401269	1.001177796	0.968	0.998
CYP2C18	0.0919088	1.002979709	0.927	0.997
CYP2C9	0.233911	1.007571675	0.816	0.984
CYP2E1	-0.9446738	0.966927764	0.349	0.912
CYP2F1	0.195559	1.010091341	0.846	0.987
CYP2J2	4.1378855	1.248763868	0.000131	0.0186
CYP2R1	-0.7924837	0.951278054	0.432	0.93
CYP2S1	-0.8194702	0.957553009	0.416	0.926
CYP2U1	0.3228351	1.011566223	0.748	0.979
CYP2W1	-0.8654235	0.955355312	0.391	0.92
CYP39A1	-0.0587131	0.998667087	0.953	0.998
CYP3A43	0.2899043	1.009184749	0.773	0.981
CYP46A1	-1.6400835	0.924454404	0.107	0.79
CYP4A11	0.424102	1.023091345	0.673	0.972
CYP4B1	0.6117286	1.023624555	0.543	0.952
CYP4F22	0.2575309	1.012493854	0.798	0.982
CYP4F8	1.2069239	1.030877903	0.233	0.883
CYP4V2	0.5163176	1.014914827	0.608	0.964
CYP4X1	-0.1505502	0.996030482	0.881	0.991
CYP4Z1	-1.4571279	0.936149762	0.151	0.842
CYP51A1	1.4795892	1.047047861	0.145	0.836
CYP7A1	0.4947962	1.013096352	0.623	0.965
CYP8B1	-0.5470653	0.973268137	0.587	0.962
CYR61	-0.8576811	0.968519251	0.395	0.921
CYS1	-1.8956555	0.947545049	0.0637	0.706
CYSLTR2	-0.3111308	0.98875317	0.757	0.98
CYSRT1	-1.5001397	0.935248888	0.14	0.827
CYSTM1	0.1257653	1.014619807	0.9	0.995
CYTH1	-1.8109338	0.915998918	0.076	0.737
CYTH3	-2.0958361	0.931725821	0.0411	0.632
CYTH4	-0.7825981	0.967483364	0.437	0.932
CYTIP	-0.4481671	0.968049027	0.656	0.968
CYTL1	-1.564812	0.920972287	0.124	0.809
CYYR1	0.0384311	1.001485755	0.969	0.998
DAAM1	0.1032306	1.008686784	0.918	0.996
DAB1	-1.0735072	0.948719227	0.288	0.894
DAB2IP	0.6318755	1.023538145	0.53	0.95
DACH1	-2.2670666	0.912962894	0.0277	0.553
DACH2	0.549397	1.012044712	0.585	0.962
DACT1	1.6381009	1.239685238	0.108	0.79
DACT3	-0.2555872	0.988770331	0.799	0.982
DAD1	0.4215011	1.01265849	0.675	0.972
DAG1	-1.6060929	0.946851971	0.114	0.801
DAGLA	-0.0286963	0.998728434	0.977	0.998
DAGLB	0.259605	1.013091478	0.796	0.982
DAND5	0.412833	1.017419986	0.681	0.972
DAO	-1.6351648	0.930920427	0.108	0.792
DAOA	-0.4966729	0.984946064	0.622	0.965
DAP	-0.8385725	0.957829909	0.406	0.923
DAP3	-1.478271	0.944741776	0.145	0.837
DAPK1	0.9069947	1.052884242	0.369	0.915
DAPK2	-2.6722264	0.848508443	0.0101	0.364
DAPK3	-0.0756879	0.996502224	0.94	0.998
DAPL1	0.3078336	1.014924156	0.759	0.98
DAPP1	0.9208435	1.120466193	0.361	0.914
DARS	0.6448338	1.039054156	0.522	0.949
DARS2	-0.3758262	0.979717809	0.709	0.976
DAW1	0.9636743	1.026328256	0.34	0.909
DAXX	1.2138872	1.129232065	0.23	0.882
DAZAP1	-0.0560958	0.995157804	0.955	0.998
DAZAP2	-1.0975492	0.972718243	0.278	0.891
DAZL	0.2655792	1.011072555	0.792	0.982
DBF4B	1.1148134	1.034834028	0.27	0.889
DBH	-1.7325642	0.911106193	0.0892	0.758
DBI	0.9831884	1.060761978	0.33	0.905
DBN1	-1.0026482	0.961226768	0.321	0.902
DBNDD1	-1.5339648	0.941107081	0.131	0.815
DBNL	1.1587251	1.1165332	0.252	0.884
DBP	1.2982666	1.070465715	0.2	0.87
DBP	-0.3935591	0.954628809	0.696	0.974
DBR1	-0.7821681	0.938089885	0.438	0.932
DCAF10	1.4495538	1.11367826	0.153	0.844
DCAF11	0.8445239	1.046539852	0.402	0.923
DCAF12L1	0.8216763	1.02504145	0.415	0.926
DCAF12L2	0.6083963	1.014868757	0.546	0.952
DCAF13	-0.3234818	0.978243863	0.748	0.979
DCAF15	-0.4112246	0.981395227	0.683	0.972
DCAF4	-0.8889767	0.944151428	0.378	0.918
DCAF4L1	-1.2816698	0.940771943	0.206	0.875
DCAF4L2	-0.698945	0.985198953	0.488	0.944
DCAF5	-0.0697825	0.997295538	0.945	0.998
DCAF6	1.2567309	1.061593734	0.215	0.877
DCAF7	0.8474857	1.050675541	0.401	0.923
DCAF8	-0.9912195	0.970867755	0.326	0.903
DCAKD	-1.6734053	0.95382162	0.1	0.782
DCANP1	0.0889613	1.005644545	0.929	0.997
DCBLD2	-0.4710289	0.984586341	0.64	0.966
DCC	0.4901651	1.010948006	0.626	0.965
DCD	-1.591895	0.946193661	0.118	0.804
DCDC2	-0.9123552	0.967412048	0.366	0.915
DCDC2B	-1.1017684	0.951216536	0.276	0.89
DCHS1	-1.0982627	0.95083737	0.277	0.891
DCK	0.0391918	1.003297604	0.969	0.998
DCLK1	-0.9915713	0.977316057	0.326	0.903
DCLK2	0.1637954	1.004075838	0.871	0.99
DCLK3	-1.432833	0.959216879	0.158	0.846
DCLRE1A	1.285038	1.122844207	0.205	0.875
DCLRE1B	-0.5666675	0.965953396	0.573	0.961
DCN	-0.402147	0.988225953	0.689	0.972
DCP1A	-1.6388546	0.870669699	0.107	0.79
DCP1B	1.1946882	1.125899316	0.238	0.883
DCP2	1.0522153	1.086673081	0.298	0.896
DCPS	1.657352	1.167113445	0.104	0.785
DCST1	0.2126718	1.009945085	0.832	0.986
DCST2	-0.5926835	0.976366608	0.556	0.956
DCSTAMP	0.2555099	1.010188526	0.799	0.982
DCT	-0.4181221	0.988138847	0.678	0.972
DCTD	-0.4217738	0.976667449	0.675	0.972
DCTN1	1.220608	1.120122447	0.228	0.881
DCTN2	-0.5127672	0.981212188	0.61	0.964
DCTN3	0.2362062	1.014573694	0.814	0.984
DCTN5	-0.5780139	0.975642432	0.566	0.959
DCTN6	-1.0531104	0.915246439	0.297	0.896
DCTPP1	1.5341988	1.104182759	0.131	0.815
DCUN1D3	0.3915022	1.0260194	0.697	0.974
DCUN1D4	-0.7720667	0.962674106	0.444	0.934
DCUN1D5	-0.4360958	0.97426595	0.665	0.97
DCX	-1.2040112	0.958857167	0.234	0.883
DCXR	0.6737365	1.065564445	0.504	0.946
DDA1	-0.1520305	0.985531951	0.88	0.991
DDAH2	1.0330449	1.069853607	0.306	0.899
DDB1	-0.3817031	0.97847109	0.704	0.974
DDC	-1.2969154	0.96477042	0.2	0.87
DDHD1	-0.5346275	0.965980225	0.595	0.962
DDHD2	-1.0695658	0.916111859	0.29	0.894
DDI1	0.6120558	1.022719597	0.543	0.952
DDIAS	0.8439062	1.049314713	0.403	0.923
DDIT3	-1.2525829	0.885075818	0.216	0.877
DDIT4L	-0.2948314	0.989372209	0.769	0.98
DDN	0.5518864	1.027860217	0.583	0.962
DDO	0.1623058	1.005433476	0.872	0.99
DDOST	-1.3121109	0.938713375	0.195	0.868
DDR1	0.6492603	1.074742319	0.519	0.948
DDR2	-0.543702	0.973675132	0.589	0.962
DDRGK1	1.1105679	1.061476771	0.272	0.889
DDX1	-1.4148918	0.924911665	0.163	0.848
DDX10	2.3808035	1.213895163	0.021	0.499
DDX17	0.2868777	1.026814675	0.775	0.981
DDX19B	-0.2710527	0.988190081	0.787	0.982
DDX20	-1.2065689	0.896790189	0.233	0.883
DDX23	1.3356809	1.08990886	0.188	0.867
DDX24	-1.2863118	0.92818991	0.204	0.874
DDX25	0.3900494	1.013698675	0.698	0.974
DDX27	-1.3077646	0.93493925	0.197	0.868
DDX28	0.2587242	1.012020146	0.797	0.982
DDX39A	0.4571662	1.040254104	0.649	0.966
DDX3Y	-0.7511163	0.775320282	0.456	0.938
DDX4	-0.3080279	0.986224809	0.759	0.98
DDX41	0.9159907	1.075029471	0.364	0.915
DDX43	-0.3979461	0.968914864	0.692	0.973
DDX46	-1.4874346	0.902614406	0.143	0.832
DDX49	-0.7966599	0.963579456	0.429	0.929
DDX5	-0.5579239	0.975515107	0.579	0.962
DDX51	-1.0516864	0.942320399	0.298	0.896
DDX52	1.3655041	1.132948993	0.178	0.859
DDX53	1.0085578	1.022619527	0.318	0.901
DDX54	-0.6405178	0.975451968	0.525	0.949
DDX55	-1.059581	0.932634388	0.294	0.896
DDX58	5.2969447	1.878815616	0.00000253	0.000659
DDX59	-0.1103223	0.994525922	0.913	0.996
DDX60	7.7751438	3.423425578	3.27E-10	0.00000025
DDX60L	6.0162846	2.299817609	0.000000193	0.0000647
DEAF1	-1.1782155	0.954365985	0.244	0.883
DECR1	2.3663306	1.173061214	0.0218	0.505
DEDD2	-1.8099807	0.874687014	0.0762	0.737
DEF6	-0.5759969	0.957786217	0.567	0.959
DEF8	-1.5483959	0.904783804	0.128	0.811
DEFA1	-0.4810203	0.980529533	0.633	0.965
DEFA4	-1.3828116	0.694542393	0.173	0.857
DEFA6	-0.2268454	0.990928913	0.821	0.984
DEFB1	1.5896408	1.06621751	0.118	0.804
DEFB118	0.7342091	1.032602188	0.466	0.941
DEFB119	-0.0109066	0.999704236	0.991	0.999
DEFB121	0.1922655	1.008449409	0.848	0.987
DEFB123	0.2545651	1.011694292	0.8	0.982
DEFB124	0.419691	1.028369794	0.676	0.972
DEFB125	-0.6998421	0.972741268	0.487	0.944
DEFB126	-0.428778	0.989158282	0.67	0.972
DEFB127	-0.2613833	0.991225021	0.795	0.982
DEFB129	-0.6871831	0.979896575	0.495	0.945
DEFB132	0.7133792	1.017135258	0.479	0.943
DEGS1	-2.3719331	0.801094032	0.0215	0.502
DEGS2	-0.8925255	0.94707845	0.376	0.917
DEK	1.3298105	1.141225185	0.189	0.867
DENND1B	-0.2608467	0.981457438	0.795	0.982
DENND1C	0.5910396	1.050666052	0.557	0.956
DENND2A	-0.751992	0.967027639	0.456	0.938
DENND2D	2.1922107	1.260583304	0.033	0.592
DENND4C	0.5099454	1.053118849	0.612	0.964
DENND5A	0.2846389	1.02251885	0.777	0.981
DENND6A	-1.272051	0.881253233	0.209	0.877
DENND6B	-0.2944972	0.985654736	0.77	0.98
DENR	1.1787946	1.069573962	0.244	0.883
DEPDC1	1.5490716	1.064311096	0.128	0.811
DEPDC1B	2.0381473	1.047449972	0.0467	0.646
DEPDC5	0.0879126	1.004529394	0.93	0.998
DEPDC7	-1.4551748	0.928178883	0.152	0.842
DEPP1	-0.2832613	0.990828231	0.778	0.981
DEPTOR	0.023508	1.000790757	0.981	0.998
DERA	1.8892072	1.167627658	0.0646	0.709
DERL1	-0.2449986	0.983649798	0.807	0.983
DERL2	-1.180703	0.930769764	0.243	0.883
DERL3	0.054703	1.002417294	0.957	0.998
DES	-0.7496176	0.967877347	0.457	0.938
DESI1	1.7148029	1.144174407	0.0925	0.767
DESI2	-1.2893514	0.963747562	0.203	0.872
DEUP1	-0.1411745	0.997843881	0.888	0.993
DFFA	0.8444667	1.047436039	0.402	0.923
DFFB	0.523068	1.051188057	0.603	0.964
DGAT1	0.5015843	1.034538668	0.618	0.964
DGCR2	-1.7624266	0.940965765	0.084	0.753
DGCR8	-0.2188289	0.988993093	0.828	0.985
DGKA	-0.4176981	0.968104601	0.678	0.972
DGKB	0.6765638	1.013638383	0.502	0.946
DGKD	-1.736705	0.907003467	0.0885	0.758
DGKI	-0.0133637	0.999568741	0.989	0.999
DGKK	1.0092687	1.050524166	0.318	0.901
DGKQ	-0.1490572	0.995776021	0.882	0.992
DGKZ	0.2255394	1.029293692	0.822	0.984
DGLUCY	1.6580682	1.089423611	0.103	0.785
DGUOK	0.9394425	1.061653795	0.352	0.912
DHCR24	1.2003449	1.081303481	0.236	0.883
DHCR7	-0.5922527	0.977808567	0.556	0.956
DHDDS	0.9055091	1.03940687	0.369	0.916
DHDH	-1.6739391	0.931849426	0.1	0.782
DHH	-0.2582782	0.988379806	0.797	0.982
DHPS	0.5101458	1.054345498	0.612	0.964
DHRS1	1.1648176	1.08085481	0.25	0.883
DHRS11	-0.4838287	0.979672677	0.631	0.965
DHRS12	-1.6726855	0.926780915	0.101	0.782
DHRS13	-1.563407	0.871898741	0.124	0.809
DHRS2	0.0227059	1.000798533	0.982	0.998
DHRS3	-1.0723029	0.912728155	0.289	0.894
DHRS7	-1.0413063	0.930264701	0.303	0.898
DHRS7B	1.0633708	1.07401476	0.293	0.896
DHRS7C	-0.5539946	0.982627827	0.582	0.962
DHRS9	2.2597119	1.22826885	0.0281	0.556
DHTKD1	0.3948207	1.035921484	0.695	0.973
DHX16	0.7448172	1.049888784	0.46	0.939
DHX30	-1.3736467	0.946449923	0.176	0.858
DHX32	1.978241	1.100927015	0.0533	0.668
DHX34	-0.5254874	0.979648205	0.602	0.964
DHX35	-1.1928196	0.960443312	0.238	0.883
DHX36	-1.8625721	0.88405661	0.0683	0.72
DHX37	-0.1838857	0.990962281	0.855	0.988
DHX38	0.9480679	1.039262824	0.348	0.912
DHX40	-2.3934969	0.865137518	0.0204	0.494
DHX57	0.4403997	1.022458601	0.662	0.969
DHX58	7.1504858	1.787185208	3.15E-09	0.00000191
DHX8	-0.8732709	0.960354122	0.387	0.919
DHX9	-1.9845093	0.909089916	0.0526	0.665
DIABLO	-0.2448687	0.987022762	0.808	0.983
DIAPH1	0.8000492	1.029683417	0.427	0.928
DIAPH3	-0.7863545	0.982269821	0.435	0.931
DICER1	-0.5027564	0.966618492	0.617	0.964
DIDO1	-1.5417847	0.93310405	0.129	0.813
DIEXF	0.8738405	1.043507739	0.386	0.919
DIO1	-0.5975161	0.980695471	0.553	0.955
DIO2	0.7589555	1.0227541	0.451	0.937
DIO3	-1.459654	0.95079664	0.151	0.842
DIP2A	0.407096	1.014909024	0.686	0.972
DIP2B	1.3668024	1.074437423	0.178	0.859
DIP2C	0.3405297	1.014961723	0.735	0.979
DIRAS1	-1.0343342	0.966756008	0.306	0.899
DIRAS2	-1.2091025	0.975232155	0.232	0.883
DIRAS3	-2.0230232	0.945157943	0.0483	0.653
DIRC1	-0.2956296	0.993288429	0.769	0.98
DIRC2	-1.4548246	0.85647757	0.152	0.842
DIS3L	-0.7115343	0.946217626	0.48	0.943
DISP1	-0.532803	0.97781651	0.596	0.963
DISP2	0.7846906	1.03117983	0.436	0.931
DISP3	-0.1637987	0.991648494	0.871	0.99
DKC1	-1.7350883	0.918859955	0.0888	0.758
DKK1	0.7135309	1.024683241	0.479	0.943
DKK2	-1.6653166	0.959297492	0.102	0.785
DKK3	-1.2594592	0.902457827	0.214	0.877
DKK4	-0.6528129	0.964565804	0.517	0.947
DKKL1	0.3431095	1.01818966	0.733	0.979
DLAT	0.6000808	1.0662155	0.551	0.954
DLC1	-0.2598826	0.994479681	0.796	0.982
DLD	-2.1153941	0.877543496	0.0393	0.623
